"","x"
"1",0.60892451261317
"2",0.348127593825682
"3",0.374563405892234
"4",0.702100428148997
"5",0.690062302029527
"6",0.670241072198029
"7",0.311949716840817
"8",0.297755901572121
"9",0.725655428799104
"10",0.664199303994558
"11",0.687324486302708
"12",0.674720505322721
"13",0.705576930327083
"14",0.611435995767876
"15",0.66889430941688
"16",0.691782349868906
"17",0.656958966436132
"18",0.663599834718776
"19",0.673047235881944
"20",0.694756416740382
"21",0.688810173087948
"22",0.697526450704105
"23",0.699601470678673
"24",0.651967015291171
"25",0.688207956789761
"26",0.657752867789347
"27",0.652958161268401
"28",0.645112852611279
"29",0.687835962125266
"30",0.656334397389255
"31",0.635484658609715
"32",0.70401377167719
"33",0.654253424796769
"34",0.732110385060387
"35",0.697706392721431
"36",0.631993655996911
"37",0.649729710251028
"38",0.314920931217579
"39",0.67135698123782
"40",0.702077153862424
"41",0.698324674349237
"42",0.643627992829407
"43",0.62271339485999
"44",0.647970888350736
"45",0.741815708978094
"46",0.710014953533916
"47",0.637377139641593
"48",0.679952698889306
"49",0.64842487950219
"50",0.679975151538964
